front,back
thee,汝を
abstain,慎む 控える
alight,降り立つ
allude,ほのめかす
amass,集める
astound,びっくり仰天させる
baptize,洗礼を行う
beckon,合図する
beset,包囲する ふさぐ
besiege,包囲する 押し寄せる
christen,命名する
coax,おだてる
coexist,共存する
concur,同意する 是認する
consign,委託する 発送する
constrain,〜を強いる 強要する
convene,招集する
converge,集まる
counteract,和らげる
covet,むやみに欲しがる
crucify,十字架にかける
culminate,最高潮に達する
dangle,ぶら下がる ぶら下げる
deduce,推論する
defer,延期する 延ばす
deflect,そらせる
delude,欺く 惑わす
demolish,取り壊す
deplore,遺憾に思う
deploy,配置する 配備する
disable,無能にする
disintegrate,崩壊させる
dismantle,分解する
dispel,追い散らす 払い去る
disperse,分散する
diversify,多様化する
dwindle,次第に減少する
economize,経済的に使用する
eject,追い出す
elicit,誘い出す 導き出す
elude,逃れる
embed,はめ込む
emulate,真似る
enact,制定する
encompass,取り巻く 包囲する
engrave,彫る
engulf,飲み込む
ensue,続いて起こる
entail,必然的に伴う
envisage,見る 予見する
envision,心に描く
equalize,等しくする
exasperate,憤慨させる
exemplify,例示する
feign,のふりをする
ferret,捜し出す 探索する
flicker,明滅する ちらちらす
flirt,ふざける いちゃつ
forge,形作る 偽造する
fortify,強化する 活力を与える
fray,ぼろぼろにする
fret,いらいらさせる 悩ます
fumble,手探りする
gape,ぽかんと大口をあける
hack,たたき切る
hamper,阻止する 妨げる
heave,持ち上げる
hoard,貯蔵する
implicate,含蓄する 巻き込む
improvise,即興で演奏する
inaugurate,就任させる
indict,起訴する
inflate,ふくらませる
insulate,絶縁する
invalidate,無効にする
invert,逆にする 反対にする
invoke,訴える
jeopardize,危険にさらす
jolt,揺すぶる
lather,せっけんの泡を塗る
levy,課税する
liberalize,自由化する
moisten,湿らせる
necessitate,必要とする
numb,麻痺させる
obliterate,消し去る 痕跡をなくす
ordain,定める
oust,解雇する 解任する
outweigh,まさる
overcrowd,混雑させる
overhear,小耳にはさむ
overload,荷を積みすぎる
overpay,支払いすぎる
overstate,大げさに言う
parch,煎る 乾ききらせる
pertain,関係する
pervert,判断などを誤らせる
plunder,略奪する
preclude,排除する 防止する
procure,獲得する
prod,刺激する
radiate,放射する
ratify,批准する
rebound,はね返る
recharge,再充電する
reclaim,取り戻す 回収する
reelect,再選する
refurbish,改装する
refute,反論する
rehabilitate,回復させる
relegate,追放する 追いやる
relent,心が解ける 弱まる
repeal,廃止する 撤回する
resell,再び売る
reset,置き直す はめ直す
retard,遅らせる
reunite,再結合する 再会する
revere,崇敬する あがめる
revert,逆戻りする
revolutionize,革命を起こす
saturate,ずぶぬれにする 飽和させる
scorch,焦がす
scrawl,走り書きをする
sear,焼く 焦がす
sever,断絶させる 隔てる
simulate,まねる
smear,塗りつける よごす
smother,窒息死させる
snuff,鼻で吸う
spout,吹き出す 噴出する
stipulate,規定する 明記する
stoke,燃料をくべる
stud,ちりばめる
subdivide,細分する 細分される
subsidize,助成金を支給する
surmount,打ち勝つ 乗り越える
tangle,もつれる からみ合う
televise,テレビ放送する
throb,脈打つ 鼓動する
topple,倒す ぐらつかせる
transact,処理する
transcend,超越する 超える
underwrite,署名する 支払いを保証する
ventilate,換気する
vex,いらだたせる
wade,歩いて渡る
woo,言い寄る くどく
wrestle,取り組む 戦う
abdomen,腹部 腹
acclaim,大かっさい 歓呼
accompanist,伴奏者
accountability,説明義務
additive,添加物
adept,達人
adherent,支持者
adhesive,接着剤
adoration,敬愛
adversary,敵 対戦相手
affidavit,供述書
affiliate,関係者 系列会社
affiliation,提携
affinity,親近感 密接な関係
aftermath,結果
aggregate,集合
airman,飛行士
airship,飛行船
ale,エール
alibi,アリバイ
allegiance,忠誠 献身
allotment,割当額
alloy,合金
allure,魅力
alto,アルト歌手
amber,琥珀 こはく色
ambush,待ち伏せ
ammonia,アンモニア
ammunition,弾薬
amnesty,恩赦
anchorage,停泊地
antagonism,対立 敵意
antagonist,対立者
antibiotic,抗生物質
antonym,反意語
appropriation,充当
archer,弓の射手
archive,記録保管所
armament,軍備 装備 武装
aroma,香り
arsenal,兵器
artery,動脈
articulate,はっきり発音する
artillery,大砲
asphalt,アスファルト
assured,保険金受取人
asthma,ぜんそく
atrocity,残虐行為
autograph,サイン
aversion,嫌悪感
awakening,目覚め 気づくこと
aye,肯定の答 賛成投票者
backfire,逆火
backup,裏打ち 支援
baffle,困惑
baptism,洗礼
barge,平底荷船
bash,強打
basil,バジル
bastard,いやなやつ
batsman,打者
bead,ビーズ
beige,ベージュ色
bellow,ほえ声 どなり声
beneficiary,受益者
bibliography,参考文献
billboard,広告板
bingo,ビンゴ
